TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail,Severity,Priority,Screenshot Link,Video 
NC1,Verify Account No,Account No accepts only numbers,"1) Enter valid account number in the ""Account No"" field",,Manger/ Customer moved to the next field successfully without error message,Manger moved to the next field successfully without error message,Pass,,,,
,,,2) Press TAB and move to the next field,,,,,,,,
,,,,,,,,,,,
NC2,Verify Account No,Account No cannot be empty,"1) Do not enter a value in ""Account No"" field",,"An error message ""Account No must not be blank"" must shown","An error message ""Account No must not be blank"" shown",Pass,,,,
,,,2) Press TAB and move to next field,,,,,,,,
,,,,,,,,,,,
NC3,Verify Account No,Account No can't contains special characters,"1) Enter any special characters the ""Account No"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown","An error message ""Special characters are not allowed"" shown",Pass,,,,
,,,2) Press TAB and move to the next field,"%, ^, &, *",,,,,,,
,,,,,,,,,,,
NC4,Verify Account No,Account No can't contains characters,"1) Enter any characters the ""Account No"" field","A, B, C, É","An error message ""Characters are not allowed"" must shown","An error message ""Characters are not allowed"" shown",Pass,,,,
,,,2) Press TAB and move to the next field,"a, b, c, É",,,,,,,
,,,,,,,,,,,
NC5,Verify Submit Button ,"Manager can delete account after entering valid ""Account No""","1) Enter a valid ""Account No"" associated with the manager ",Accounts No. associated to the manager,The manager successfully delete account ,"The website fail and gives an error message ""Connection failed: Access denied for user 'root'@'localhost' (using password: NO)""",Fail,Critical,High,https://ibb.co/mBZtJCZ,
,,,"2) Click on the ""Submit"" button ",,,,,,,,
,,,,,,,,,,,
NC6,Verify Submit Button ,"Manager can't delete account if ""Account No"" field is empty ","1) Leave the ""Account No"" field empty",,"An error message ""Please fill all fields"" must shown","An error message ""Please fill all fields"" shown",Pass,,,,
,,,"2) Click on the ""Submit"" button ",,,,,,,,
,,,,,,,,,,,
NC7,Verify Reset Button,Manger can reset the Account No field,"1) Enter a valid ""Account No"" associated with the manager ",,All the data entered must be deleted ,All the data entered deleted ,Pass,,,,
,,,"2) Click on the ""Reset"" button ",,,,,,,,
,,,,,,,,,,,
NC8,Verify Reset Button,Nothing happen when clicking on reset button without entering any data,"1) Leave the ""Account No"" field empty",,Account No field remains empty,Account No field remains empty,Pass,,,,
,,,"2) Click on the ""Reset"" button ",,,,,,,,
