TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail,Severity,Priority,Screenshot Link
NC1,Verify Payers Account Number,Payers Account Number accepts valid numbers,"1) Enter valid account number in ""Payers Account Number"" field",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC2,Verify Payers Account Number,Payers Account Number cannot be empty,"1) Do not enter a value in ""Payers Account Number"" field",,"An error message ""Payers account number must not be blank"" must shown","An error message ""Payers account number must not be blank"" shown",Pass,,,
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC3,Verify Payers Account Number,Payers Account Number can't contains special characters,"1) Enter any special characters the ""Payers Account Number"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown","An error message ""Special characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,"%, ^, &, *",,,,,,
,,,,,,,,,,
NC4,Verify Payers Account Number,Payers Account Number can't contains characters,"1) Enter any characters the ""Payers Account Number"" field","A, B, C, …","An error message ""Characters are not allowed"" must shown","An error message ""Characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,"a, b, c, …",,,,,,
,,,,,,,,,,
NC5,Verify Payees Account Number,Payees Account Number accepts valid numbers,"1) Enter valid account number in ""Payees Account Number"" field",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC6,Verify Payees Account Number,Payees Account Number cannot be empty,"1) Do not enter a value in ""Payees Account Number"" field",,"An error message ""Payees account number must not be blank"" must shown","An error message ""Payees account number must not be blank"" shown",Pass,,,
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC7,Verify Payees Account Number,Payees Account Number can't contains special characters,"1) Enter any special characters the ""Payees Account Number"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown","An error message ""Special characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,"%, ^, &, *",,,,,,
,,,,,,,,,,
NC8,Verify Payees Account Number,Payees Account Number can't contains characters,"1) Enter any characters the ""Payees Account Number"" field","A, B, C, …","An error message ""Characters are not allowed"" must shown","An error message ""Characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,"a, b, c, …",,,,,,
,,,,,,,,,,
NC9,Verify Amount Field,Amount field cannot be empty,"1) Do not enter a value in ""Amount"" field",,"An error message ""Amount must not be blank"" must shown","An error message ""Amount must not be blank"" shown",Pass,,,
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC10,Verify Amount Field,Amount field can't contains characters,"1) Enter any characters the ""Amount"" field","A, B, C, …","An error message ""Characters are not allowed"" must shown","An error message ""Characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,"a, b, c, …",,,,,,
,,,,,,,,,,
NC11,Verify Amount Field,Amount field can't contains special characters,"1) Enter any special characters the ""Amount"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown","An error message ""Special characters are not allowed"" shown",Pass,,,
,,,2) Press TAB and move to the next field,"%, ^, &, *",,,,,,
,,,,,,,,,,
