TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail,Severity,Priority,Screenshot Link
NC1,Verify Old Password,Old password field must match the previous old pass.,"1) Enter the valid old passwordr in the ""Old Password"" field",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC2,Verify Old Password,Old password cannot be empty,"1) Do not enter a value in ""Old Password"" field",,"An error message ""Old Password must not be blank"" must shown","An error message ""Old Password must not be blank"" shown",Pass,,,
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC3,Verify Old Password,Old password must be invisible ,"1) Enter the any password in the ""Old Password"" ",,The password characters are not visible to manager/ customer ,The password characters are not visible to manager/ customer ,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC4,Verify New Password,New password must have at-least one numeric value,"1) Enter any password without at-least one numeric value in the ""New Password"" field",,"An error message ""Enter at-least one numeric value"" must shown","An error message ""Enter at-least one numeric value"" shown",Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC5,Verify New Password,New password must have at-least one special character,"1) Enter any password without at-least one special character in the ""New Password"" field",,"An error message ""Enter at-least one special character"" must shown","An error message ""Enter at-least one special character"" shown",Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC6,Verify New Password,New password strength indicator must be difficult Password,"1) Enter any password with at-least one special character and one numeric value in the ""New Password"" field until the password strength indicator be difficult",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC7,Verify New Password,New password strength indicator can't be meduim or easy Password,"1) Enter any password with at-least one special character and one numeric value in the ""New Password"" ",,"An error message ""Password must be difficult"" must shown",No password strength indicator,Fail,Major,Medium,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC8,Verify New Password,New password must be invisible ,"1) Enter the any password in the ""New Password"" ",,The password characters are not visible to manager/ customer ,The password characters are not visible to manager/ customer ,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC9,Verify Confirm Password,Confirm password cannot be empty,"1) Do not enter a value in ""Confirm Password"" field",,"An error message ""Old Password must not be blank"" must shown","An error message ""Old Password must not be blank"" shown",Pass,,,
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC10,Verify Confirm Password,Confirm password must be same as the new password,"1) Enter the confirm password same as the new password in the ""Confirm Password"" ",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC11,Verify Confirm Password,Confirm password must be invisible ,"1) Enter the any password in the ""Confirm Password"" ",,The password characters are not visible to manager/ customer ,The password characters are not visible to manager/ customer ,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC12,Verify Submit Button ,Manager/ Customer can change his own account password ,"1) Enter a valid ""Old Password"" ",,The manager/ customer successfully change his password,Manager successfully change his password,Pass,,,
,,,"2) Enter a valid ""New Password""",,,,,,,
,,,"3) Enter a valid ""Confirm Password""",,,,,,,
,,,"4) Click on the ""Submit"" button",,,,,,,
,,,,,,,,,,
NC13,Verify Submit Button ,Manager/ Customer can’t change his own account password if all or any of the required fields is empty ,1) Don't enter any data in all the new account fields  ,,"An error message ""Please fill all fields"" must shown","An error message ""Please fill all fields"" must shown",Pass,,,
,,,"2) Click on the ""Submit"" button",,,,,,,
,,,,,,,,,,
NC14,Verify Reset Button,Manger/ Customer can reset the change password data,"1) Enter a valid ""Old Password""",,All the change password fields must be deleted ,All the change password fields deleted ,Pass,,,
,,,"2) Enter a valid ""New Password""",,,,,,,
,,,"3) Enter a valid ""Confirm Password""",,,,,,,
,,,"4) Click on the ""Submit"" button",,,,,,,
,,,,,,,,,,
NC15,Verify Reset Button,Nothing happen when clicking on reset button without entering any data in the New Account fields,1) Don't enter any data in all the new account fields ,,All the fields remains empty,All the fields remains empty,Pass,,,
,,,"2) Click on the ""Reset"" button ",,,,,,,
,,,,,,,,,,
NC16,Verify Manager Authority ,Manager can change his account password,"1) Enter a valid ""Old Password"" ",,Manager successfully change his password,Manager successfully change his password,Pass,,,
,,,"2) Enter a valid ""New Password""",,,,,,,
,,,"3) Enter a valid ""Confirm Password""",,,,,,,
,,,"4) Click on the ""Submit"" button",,,,,,,
,,,,,,,,,,
NC17,Verify Customer Authority ,Customer can change his account password,"1) Enter a valid ""Old Password"" ",,Customer successfully change his password,Customer successfully change his password,Pass,,,
,,,"2) Enter a valid ""New Password""",,,,,,,
,,,"3) Enter a valid ""Confirm Password""",,,,,,,
,,,"4) Click on the ""Submit"" button",,,,,,,
