TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail,Severity,Priority,Screenshot Link
NC11,Verify Submit Button ,Manager/ Customer can make a deposite after entering valid data,"1) Enter a valid ""Account No"" ",,The manager/ customer successfully make a deposit ,Page broke,Fail,Critical,High,
,,,2) Enter a valid deposit amount,,,,,,,
,,,3) Enter a valid description ,,,,,,,
,,,"4) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC15,Verify Manager Authority,Manager can make a deposit if the account no associated to him,"1) Enter a valid ""Account No"" associated with the manager",Accounts No. associated to the manager,Manager can successfully make a deposit,Page broke,Fail,Critical,High,
,,,2) Enter a valid deposit amount,,,,,,,
,,,3) Enter a valid description ,,,,,,,
,,,"4) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC16,Verify Customer Authority,Customer can't make a deposit if the account no associated to him,"1) Enter a valid ""Account No"" not associated with the customer",,"An error message ""Account does not exist"" must shown",Not applicable to execute ,Fail,,,
,,,2) Enter a valid deposit amount,,,,,,,
,,,3) Enter a valid description ,,,,,,,
,,,"4) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC17,Verify Customer Authority,Customer can make a deposit if the account no associated to him,"1) Enter a valid ""Account No"" not associated with the customer",Accounts No. associated to the customer,Customer can successfully make a deposit,Not applicable to execute ,Fail,,,
,,,2) Enter a valid deposit amount,,,,,,,
,,,3) Enter a valid description ,,,,,,,
,,,"4) Click on the ""Submit"" button ",,,,,,,
